NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
KEGG_ABC_TRANSPORTERS	44	24		
KEGG_ACUTE_MYELOID_LEUKEMIA	57	48		
KEGG_ADHERENS_JUNCTION	73	50		
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	67	42		
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	32	19		
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	42	22		
KEGG_ALLOGRAFT_REJECTION	37	23		
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	19		Rejected!	
KEGG_ALZHEIMERS_DISEASE	166	100		
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	41		Rejected!	
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	44	26		
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	53	34		
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	88	43		
KEGG_APOPTOSIS	87	70		
KEGG_ARACHIDONIC_ACID_METABOLISM	58	25		
KEGG_ARGININE_AND_PROLINE_METABOLISM	54	34		
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	74	39		
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	25		Rejected!	
KEGG_ASTHMA	30	18		
KEGG_AUTOIMMUNE_THYROID_DISEASE	52	23		
KEGG_AXON_GUIDANCE	129	61		
KEGG_BASAL_CELL_CARCINOMA	55	17		
KEGG_BASAL_TRANSCRIPTION_FACTORS	35	23		
KEGG_BASE_EXCISION_REPAIR	35	26		
KEGG_BETA_ALANINE_METABOLISM	22	16		
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	22		Rejected!	
KEGG_BLADDER_CANCER	42	30		
KEGG_BUTANOATE_METABOLISM	34	23		
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	75	58		
KEGG_CALCIUM_SIGNALING_PATHWAY	178	83		
KEGG_CARDIAC_MUSCLE_CONTRACTION	79	36		
KEGG_CELL_ADHESION_MOLECULES_CAMS	133	78		
KEGG_CELL_CYCLE	125	101		
KEGG_CHEMOKINE_SIGNALING_PATHWAY	188	125		
KEGG_CHRONIC_MYELOID_LEUKEMIA	73	59		
KEGG_CIRCADIAN_RHYTHM_MAMMAL	13		Rejected!	
KEGG_CITRATE_CYCLE_TCA_CYCLE	31	24		
KEGG_COLORECTAL_CANCER	62	50		
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	69	34		
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	34	18		
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	264	137		
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	55	25		
KEGG_DILATED_CARDIOMYOPATHY	90	44		
KEGG_DNA_REPLICATION	36	30		
KEGG_DORSO_VENTRAL_AXIS_FORMATION	24		Rejected!	
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	72	32		
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	51	22		
KEGG_ECM_RECEPTOR_INTERACTION	84	59		
KEGG_ENDOCYTOSIS	181	95		
KEGG_ENDOMETRIAL_CANCER	52	37		
