NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	Details ...	101	0.627273	2.1922503	0.0	0.0	0.0	1145	tags=51%, list=18%, signal=62%	
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION	Details ...	30	0.7217946	2.000272	0.0	0.0011446993	0.002	1145	tags=70%, list=18%, signal=85%	
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR	Details ...	20	0.74360955	1.939007	0.001754386	0.0027176237	0.007	1010	tags=70%, list=16%, signal=83%	
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	Details ...	17	0.7281772	1.8285208	0.0036968577	0.014660146	0.048	320	tags=24%, list=5%, signal=25%	
KEGG_HOMOLOGOUS_RECOMBINATION	KEGG_HOMOLOGOUS_RECOMBINATION	Details ...	16	0.7255035	1.787563	0.003629764	0.02183879	0.086	1123	tags=63%, list=18%, signal=76%	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR	Details ...	38	0.60635275	1.7806392	0.0	0.019576307	0.093	1464	tags=47%, list=23%, signal=61%	
KEGG_OOCYTE_MEIOSIS	KEGG_OOCYTE_MEIOSIS	Details ...	73	0.5361005	1.7585118	0.0	0.023240428	0.125	319	tags=21%, list=5%, signal=21%	
KEGG_P53_SIGNALING_PATHWAY	KEGG_P53_SIGNALING_PATHWAY	Details ...	46	0.557602	1.7037982	0.0	0.042948503	0.255	954	tags=39%, list=15%, signal=46%	
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	Details ...	58	0.48830146	1.584888	0.0054151625	0.1291033	0.614	918	tags=31%, list=15%, signal=36%	
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	Details ...	67	0.47049627	1.5417745	0.005319149	0.17546304	0.761	2076	tags=60%, list=33%, signal=88%	
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM	Details ...	34	0.531052	1.5267909	0.022181146	0.18225302	0.805	1497	tags=44%, list=24%, signal=58%	
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	Details ...	19	0.58991045	1.5157094	0.042801555	0.18339522	0.831	375	tags=32%, list=6%, signal=33%	
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION	Details ...	36	0.5138757	1.4924387	0.039076377	0.20639989	0.894	1916	tags=61%, list=31%, signal=88%	
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	Details ...	35	0.50702924	1.4891082	0.037523452	0.19715908	0.897	583	tags=20%, list=9%, signal=22%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	71	0.44826996	1.4872612	0.0099502485	0.18664777	0.898	2154	tags=66%, list=34%, signal=100%	
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR	Details ...	26	0.55487	1.4816868	0.047058824	0.18262148	0.904	1891	tags=69%, list=30%, signal=99%	
KEGG_STEROID_HORMONE_BIOSYNTHESIS	KEGG_STEROID_HORMONE_BIOSYNTHESIS	Details ...	17	0.5967819	1.4499344	0.06641366	0.22003277	0.945	808	tags=35%, list=13%, signal=40%	
KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE	Details ...	110	0.38270935	1.353567	0.035958905	0.39980575	0.999	1920	tags=52%, list=31%, signal=73%	
KEGG_HEDGEHOG_SIGNALING_PATHWAY	KEGG_HEDGEHOG_SIGNALING_PATHWAY	Details ...	21	0.51538587	1.3524333	0.099403575	0.38072968	0.999	72	tags=10%, list=1%, signal=10%	
KEGG_PROTEASOME	KEGG_PROTEASOME	Details ...	37	0.44960916	1.3386018	0.09872029	0.39424124	1.0	2088	tags=62%, list=33%, signal=93%	
KEGG_PYRUVATE_METABOLISM	KEGG_PYRUVATE_METABOLISM		25	0.4908032	1.3285754	0.13953489	0.3991286	1.0	1630	tags=48%, list=26%, signal=65%	
