NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_LYSOSOME	KEGG_LYSOSOME	Details ...	83	-0.47417313	-1.6893523	0.0	0.30936378	0.312	1586	tags=48%, list=25%, signal=64%	
KEGG_RIBOSOME	KEGG_RIBOSOME	Details ...	73	-0.4476826	-1.5708244	0.0062370063	0.43209177	0.65	2765	tags=85%, list=44%, signal=151%	
KEGG_JAK_STAT_SIGNALING_PATHWAY	KEGG_JAK_STAT_SIGNALING_PATHWAY	Details ...	77	-0.44411454	-1.5681057	0.0023640662	0.2964952	0.658	730	tags=29%, list=12%, signal=32%	
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	Details ...	55	-0.46358332	-1.5197936	0.015118791	0.3191619	0.791	1993	tags=62%, list=32%, signal=90%	
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	Details ...	24	-0.5020478	-1.3724647	0.08189655	0.7205055	0.987	759	tags=38%, list=12%, signal=43%	
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	Details ...	28	-0.47163105	-1.3455615	0.08791209	0.71163505	0.995	863	tags=32%, list=14%, signal=37%	
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	Details ...	25	-0.46997696	-1.3128601	0.11479029	0.73753256	1.0	1373	tags=44%, list=22%, signal=56%	
KEGG_MAPK_SIGNALING_PATHWAY	KEGG_MAPK_SIGNALING_PATHWAY	Details ...	162	-0.33576438	-1.3007519	0.041564792	0.6918928	1.0	765	tags=22%, list=12%, signal=24%	
KEGG_ENDOCYTOSIS	KEGG_ENDOCYTOSIS	Details ...	95	-0.3608871	-1.2915006	0.07311321	0.6503673	1.0	980	tags=32%, list=16%, signal=37%	
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	45	-0.405637	-1.2860919	0.11486486	0.6029204	1.0	1138	tags=29%, list=18%, signal=35%	
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	Details ...	61	-0.38244832	-1.2718222	0.097345136	0.592279	1.0	1067	tags=31%, list=17%, signal=37%	
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	Details ...	137	-0.32804504	-1.2538496	0.055172414	0.5990833	1.0	539	tags=19%, list=9%, signal=20%	
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS	Details ...	78	-0.35800248	-1.252268	0.10538641	0.55794895	1.0	863	tags=28%, list=14%, signal=32%	
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	Details ...	34	-0.41064253	-1.2300618	0.14222223	0.583622	1.0	569	tags=18%, list=9%, signal=19%	
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	Details ...	58	-0.36783624	-1.2211072	0.15521064	0.57004654	1.0	1728	tags=40%, list=28%, signal=54%	
KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_HEMATOPOIETIC_CELL_LINEAGE	Details ...	63	-0.35888425	-1.2114923	0.14253394	0.5630045	1.0	631	tags=24%, list=10%, signal=26%	
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	63	-0.347831	-1.1759433	0.17792793	0.6347971	1.0	1138	tags=27%, list=18%, signal=33%	
KEGG_NOTCH_SIGNALING_PATHWAY	KEGG_NOTCH_SIGNALING_PATHWAY	Details ...	25	-0.41906106	-1.1661061	0.25571725	0.6288932	1.0	1851	tags=52%, list=30%, signal=74%	
KEGG_PRION_DISEASES	KEGG_PRION_DISEASES	Details ...	23	-0.41034713	-1.1304374	0.26021504	0.70716476	1.0	199	tags=9%, list=3%, signal=9%	
KEGG_APOPTOSIS	KEGG_APOPTOSIS	Details ...	70	-0.32631633	-1.1279032	0.22716628	0.6800261	1.0	693	tags=19%, list=11%, signal=21%	
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY		125	-0.2968429	-1.1109127	0.20145631	0.70030254	1.0	1002	tags=19%, list=16%, signal=22%	
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION		47	-0.33349228	-1.0939279	0.29504505	0.7229979	1.0	8	tags=4%, list=0%, signal=4%	
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY		91	-0.30190453	-1.0865731	0.29411766	0.7166077	1.0	823	tags=16%, list=13%, signal=19%	
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY		36	-0.3585104	-1.0722715	0.32307693	0.728204	1.0	1138	tags=28%, list=18%, signal=34%	
KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM		36	-0.34252453	-1.0443095	0.40246406	0.7855853	1.0	1320	tags=33%, list=21%, signal=42%	
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES		34	-0.34972504	-1.0434563	0.393736	0.7582514	1.0	1095	tags=29%, list=18%, signal=35%	
KEGG_ERBB_SIGNALING_PATHWAY	KEGG_ERBB_SIGNALING_PATHWAY		56	-0.30688915	-1.0251312	0.40222222	0.78862005	1.0	207	tags=7%, list=3%, signal=7%	
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION		43	-0.32332247	-1.0163078	0.41629955	0.7879127	1.0	1840	tags=47%, list=29%, signal=65%	
KEGG_FOCAL_ADHESION	KEGG_FOCAL_ADHESION		134	-0.2638012	-1.0090386	0.44020355	0.7824421	1.0	529	tags=12%, list=8%, signal=13%	
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM		26	-0.35123914	-0.99642414	0.43162394	0.794653	1.0	1495	tags=35%, list=24%, signal=45%	
KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA		59	-0.29059407	-0.9857679	0.48230088	0.80107373	1.0	764	tags=19%, list=12%, signal=21%	
KEGG_COLORECTAL_CANCER	KEGG_COLORECTAL_CANCER		50	-0.30923772	-0.9849485	0.46651787	0.7784231	1.0	772	tags=22%, list=12%, signal=25%	
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE		61	-0.28613433	-0.97322524	0.50233644	0.7876067	1.0	795	tags=18%, list=13%, signal=20%	
KEGG_PURINE_METABOLISM	KEGG_PURINE_METABOLISM		84	-0.27755564	-0.972221	0.5173913	0.7670913	1.0	936	tags=19%, list=15%, signal=22%	
KEGG_PROSTATE_CANCER	KEGG_PROSTATE_CANCER		65	-0.2822937	-0.96583563	0.49635038	0.7635809	1.0	277	tags=12%, list=4%, signal=13%	
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION		32	-0.32817355	-0.95874554	0.5199115	0.76152056	1.0	72	tags=6%, list=1%, signal=6%	
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION		78	-0.26986507	-0.9465696	0.59902203	0.77272546	1.0	1601	tags=38%, list=26%, signal=51%	
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM		51	-0.2986528	-0.9409628	0.5772727	0.76563334	1.0	1499	tags=37%, list=24%, signal=49%	
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM		39	-0.27528498	-0.8603968	0.6825054	0.9497346	1.0	374	tags=10%, list=6%, signal=11%	
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER		30	-0.30444437	-0.8602588	0.67333335	0.9262504	1.0	812	tags=20%, list=13%, signal=23%	
KEGG_GLIOMA	KEGG_GLIOMA		46	-0.27091932	-0.85503244	0.7127193	0.91582507	1.0	277	tags=11%, list=4%, signal=11%	
KEGG_RENAL_CELL_CARCINOMA	KEGG_RENAL_CELL_CARCINOMA		47	-0.26131755	-0.8543275	0.7290749	0.8952383	1.0	812	tags=15%, list=13%, signal=17%	
KEGG_OLFACTORY_TRANSDUCTION	KEGG_OLFACTORY_TRANSDUCTION		17	-0.33451304	-0.8484355	0.6731183	0.8873808	1.0	1505	tags=35%, list=24%, signal=46%	
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	KEGG_GLYCEROPHOSPHOLIPID_METABOLISM		30	-0.29298866	-0.8432299	0.7156398	0.8780075	1.0	1245	tags=27%, list=20%, signal=33%	
KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS		44	-0.25731078	-0.8108002	0.79464287	0.92115074	1.0	1170	tags=25%, list=19%, signal=31%	
KEGG_ASTHMA	KEGG_ASTHMA		18	-0.3120491	-0.808549	0.7482993	0.9051175	1.0	367	tags=11%, list=6%, signal=12%	
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM		19	-0.29229182	-0.7496574	0.81653225	0.9731408	1.0	1792	tags=47%, list=29%, signal=66%	
KEGG_SPHINGOLIPID_METABOLISM	KEGG_SPHINGOLIPID_METABOLISM		16	-0.27271497	-0.69947994	0.84665227	1.0	1.0	743	tags=13%, list=12%, signal=14%	
KEGG_N_GLYCAN_BIOSYNTHESIS	KEGG_N_GLYCAN_BIOSYNTHESIS		23	-0.25433424	-0.6872079	0.8783784	0.9932541	1.0	2721	tags=65%, list=44%, signal=115%	
KEGG_PEROXISOME	KEGG_PEROXISOME		42	-0.20737404	-0.6500202	0.9748954	0.9981045	1.0	1426	tags=26%, list=23%, signal=34%	
