NAME	TITLE	SCORE	
MYRIP	na	1.9389085	
DMC1	na	1.870916	
GCAT	na	1.7414261	
MYO6	na	1.6995802	
ASPH	na	1.6676276	
PIP	na	1.6505729	
LOXL2	na	1.6419818	
TNFSF8	na	1.6067988	
ZNF185	na	1.5919986	
CENPE	na	1.5575259	
ASTN1	na	1.5266501	
CDC25A	na	1.5136178	
ACTA2	na	1.4707875	
P4HA2	na	1.4543709	
GCNT2	na	1.4180416	
UCHL1	na	1.4158136	
CDC25C	na	1.3728752	
EPB41L4B	na	1.3656796	
LOC81691	na	1.3630103	
FANCA	na	1.3406694	
E2F2	na	1.3399669	
ABCA6	na	1.2931732	
CHN2	na	1.2877568	
SEPT8	na	1.2738591	
SLCO3A1	na	1.2723649	
KIF22	na	1.2639607	
SERPINB3	na	1.2598113	
HSPA2	na	1.250218	
CADM1	na	1.2387896	
TROAP	na	1.2293221	
KANK1	na	1.2115151	
CHEK1	na	1.1794986	
KIF23	na	1.1790569	
MYBL1	na	1.125561	
FBLN5	na	1.1242115	
NRGN	na	1.1035181	
CIT	na	1.0955446	
CD27	na	1.0799443	
VDR	na	1.071759	
CDC45	na	1.0706854	
SMPDL3A	na	1.0679615	
CADPS	na	1.0630888	
CHRNA5	na	1.0550976	
APOBEC3B	na	1.0486715	
BMP7	na	1.0397495	
PRKCH	na	1.0340405	
FRY	na	1.0155323	
FAS	na	1.012016	
HIST1H2AD	na	1.0050405	
PRKAR2B	na	0.9998521	
KCNN3	na	0.99798656	
MAF	na	0.9975832	
MYO10	na	0.9971078	
PTTG2	na	0.9797586	
CAMK1	na	0.97755915	
FEZ1	na	0.9752199	
TJP2	na	0.9649865	
SPC25	na	0.96346927	
FIGF	na	0.9542907	
BIRC5	na	0.95030046	
NEK2	na	0.9462446	
CCNB2	na	0.9437972	
CDC6	na	0.94291663	
CSTA	na	0.9399422	
CAMSAP1L1	na	0.9363431	
SDC4	na	0.9359542	
CCT6B	na	0.9352535	
LTBP1	na	0.9350021	
TGM2	na	0.928702	
SLC1A1	na	0.92199624	
BUB1	na	0.9196216	
SLCO2B1	na	0.91694	
WNT5A	na	0.91279304	
CCNE2	na	0.91045535	
TNFRSF9	na	0.9102571	
PLK4	na	0.90520275	
SMAD1	na	0.90180504	
PTPRM	na	0.8925432	
IGFBP7	na	0.88931733	
ALDH7A1	na	0.8867741	
TFEC	na	0.88160634	
CD38	na	0.8785374	
CDK1	na	0.87843716	
GINS1	na	0.87680554	
WDFY3	na	0.87166953	
WWTR1	na	0.86988944	
SYNE2	na	0.8671106	
AIM2	na	0.867008	
GPSM2	na	0.8662974	
RBFOX2	na	0.86512566	
SYT11	na	0.85500306	
CAMK4	na	0.85315704	
NCALD	na	0.84852725	
HSD3B2	na	0.8474159	
NCAPH	na	0.84411097	
RAPGEF5	na	0.8408342	
PEG10	na	0.8406139	
TUBB2A	na	0.83762324	
CORO2A	na	0.83726203	
RRM2	na	0.8372349	
ETV5	na	0.82514274	
KIF14	na	0.8226482	
STIL	na	0.81148416	
NR1H3	na	0.811346	
HOXA1	na	0.81007314	
TRO	na	0.80840623	
CTNNAL1	na	0.8070883	
CDO1	na	0.8065273	
STX11	na	0.80204177	
PPM1E	na	0.8010688	
PRKCA	na	0.80069476	
CDKN3	na	0.79983866	
IGLL1	na	0.7930917	
CENPF	na	0.7891376	
TOP2A	na	0.7853461	
RPL39L	na	0.78287	
NDC80	na	0.78149277	
NMU	na	0.7809914	
MKI67	na	0.77976274	
AKR1C3	na	0.7782877	
PALLD	na	0.7781627	
TOX	na	0.7780854	
NINJ1	na	0.7763497	
MCM4	na	0.7758174	
KIF11	na	0.77052677	
CENPA	na	0.767877	
DAAM1	na	0.76737857	
EXO1	na	0.7647921	
OIP5	na	0.76068074	
ABCC4	na	0.7603777	
GJA4	na	0.75976884	
SOCS6	na	0.75341296	
MAPK10	na	0.7530439	
UBD	na	0.7528929	
HMMR	na	0.75075567	
CCNB1	na	0.74781746	
CLU	na	0.74773246	
MME	na	0.7470961	
UBE2C	na	0.74426794	
GCHFR	na	0.7441624	
GPR19	na	0.7440413	
FHL2	na	0.7426967	
TTK	na	0.74173945	
WDHD1	na	0.741052	
NPTX2	na	0.73983747	
TUBB3	na	0.7357009	
BUB1B	na	0.73282236	
GFI1	na	0.7259489	
ADH1B	na	0.7255059	
SPRED2	na	0.7251489	
FOXM1	na	0.72336715	
CD3D	na	0.720701	
MAD2L1	na	0.7164188	
HIST1H4L	na	0.71590066	
LRRC32	na	0.715772	
RGS13	na	0.71454936	
CREG1	na	0.70808715	
GGH	na	0.70690596	
MYO1D	na	0.7063896	
AK4	na	0.6972935	
CHD5	na	0.6954282	
LIN7A	na	0.6918305	
MEF2B	na	0.6903099	
CD70	na	0.68968815	
CHAF1B	na	0.6891053	
MPP6	na	0.687985	
PTTG1	na	0.6879454	
