NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	Details ...	101	0.6232236	2.1364682	0.0	0.0	0.0	1206	tags=50%, list=19%, signal=60%	
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION	Details ...	30	0.7319859	1.977317	0.0	4.9468083E-4	0.001	1026	tags=70%, list=16%, signal=83%	
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR	Details ...	20	0.7735132	1.9688015	0.0	6.667438E-4	0.002	1005	tags=70%, list=16%, signal=83%	
KEGG_OOCYTE_MEIOSIS	KEGG_OOCYTE_MEIOSIS	Details ...	73	0.5712147	1.8354653	0.0	0.013986125	0.054	264	tags=21%, list=4%, signal=21%	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR	Details ...	38	0.6331527	1.8025409	0.0	0.017089501	0.081	1703	tags=55%, list=27%, signal=76%	
KEGG_HOMOLOGOUS_RECOMBINATION	KEGG_HOMOLOGOUS_RECOMBINATION	Details ...	16	0.7177661	1.7318139	0.0035971224	0.036389574	0.187	1005	tags=56%, list=16%, signal=67%	
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	Details ...	58	0.53512436	1.670137	0.0015360983	0.062911645	0.346	721	tags=26%, list=12%, signal=29%	
KEGG_P53_SIGNALING_PATHWAY	KEGG_P53_SIGNALING_PATHWAY	Details ...	46	0.5515086	1.6602414	0.0016528926	0.061739787	0.366	426	tags=24%, list=7%, signal=25%	
KEGG_PRIMARY_IMMUNODEFICIENCY	KEGG_PRIMARY_IMMUNODEFICIENCY	Details ...	27	0.6196619	1.6507877	0.0051993066	0.061084844	0.395	620	tags=33%, list=10%, signal=37%	
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	Details ...	19	0.5811981	1.4536775	0.05372617	0.35480016	0.97	465	tags=32%, list=7%, signal=34%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	71	0.44764572	1.4411396	0.024691358	0.3543839	0.977	2093	tags=56%, list=33%, signal=84%	
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	Details ...	77	0.4409132	1.4102799	0.020958085	0.40982944	0.991	730	tags=19%, list=12%, signal=22%	
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	Details ...	17	0.58499	1.4073799	0.082051285	0.38631397	0.992	242	tags=18%, list=4%, signal=18%	
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR	Details ...	26	0.5203944	1.393481	0.076794654	0.3994244	0.996	1685	tags=62%, list=27%, signal=84%	
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	Details ...	22	0.54625607	1.391646	0.08552632	0.37743536	0.996	1019	tags=41%, list=16%, signal=49%	
KEGG_STEROID_HORMONE_BIOSYNTHESIS	KEGG_STEROID_HORMONE_BIOSYNTHESIS	Details ...	17	0.55785096	1.3667336	0.112676054	0.42278162	0.998	846	tags=35%, list=14%, signal=41%	
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	Details ...	35	0.48770332	1.3547963	0.08674304	0.433172	0.998	1128	tags=29%, list=18%, signal=35%	
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	Details ...	65	0.41902244	1.3174932	0.08584338	0.5224074	1.0	1162	tags=28%, list=19%, signal=34%	
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	Details ...	50	0.4214868	1.2737756	0.113354035	0.63904274	1.0	449	tags=18%, list=7%, signal=19%	
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	Details ...	18	0.5209576	1.2668111	0.17555939	0.63357013	1.0	1347	tags=44%, list=22%, signal=56%	
KEGG_ENDOMETRIAL_CANCER	KEGG_ENDOMETRIAL_CANCER		37	0.44172356	1.2528728	0.14331724	0.65358377	1.0	1149	tags=35%, list=18%, signal=43%	
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE		23	0.48196846	1.2472172	0.20166667	0.64585024	1.0	660	tags=22%, list=11%, signal=24%	
KEGG_PYRUVATE_METABOLISM	KEGG_PYRUVATE_METABOLISM		25	0.46468198	1.2334267	0.17310925	0.66640466	1.0	1439	tags=48%, list=23%, signal=62%	
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC		39	0.42364132	1.2273374	0.17398119	0.65791446	1.0	743	tags=26%, list=12%, signal=29%	
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION		67	0.38557222	1.2233512	0.15875371	0.6451974	1.0	2424	tags=63%, list=39%, signal=101%	
KEGG_GLYCEROLIPID_METABOLISM	KEGG_GLYCEROLIPID_METABOLISM		18	0.49425137	1.2089568	0.24757281	0.6679341	1.0	906	tags=28%, list=14%, signal=32%	
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE		22	0.46407428	1.1720384	0.25976232	0.7743438	1.0	660	tags=32%, list=11%, signal=35%	
KEGG_GLUTATHIONE_METABOLISM	KEGG_GLUTATHIONE_METABOLISM		28	0.4293422	1.1552315	0.24149108	0.80904543	1.0	684	tags=29%, list=11%, signal=32%	
KEGG_TYPE_I_DIABETES_MELLITUS	KEGG_TYPE_I_DIABETES_MELLITUS		27	0.43144205	1.1541687	0.26086956	0.78527594	1.0	660	tags=22%, list=11%, signal=25%	
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION		61	0.36345762	1.1397253	0.2647059	0.8114401	1.0	743	tags=18%, list=12%, signal=20%	
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM		34	0.4021402	1.1241164	0.28836426	0.8419387	1.0	817	tags=24%, list=13%, signal=27%	
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY		51	0.3591353	1.0935913	0.296063	0.930355	1.0	1162	tags=31%, list=19%, signal=38%	
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY		82	0.33455178	1.0891526	0.29542097	0.92003745	1.0	1065	tags=27%, list=17%, signal=32%	
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	KEGG_DRUG_METABOLISM_OTHER_ENZYMES		22	0.41712612	1.0694672	0.37457627	0.96529955	1.0	414	tags=14%, list=7%, signal=15%	
KEGG_HEDGEHOG_SIGNALING_PATHWAY	KEGG_HEDGEHOG_SIGNALING_PATHWAY		21	0.42119756	1.0677791	0.3493976	0.9447959	1.0	544	tags=14%, list=9%, signal=16%	
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION		23	0.41079882	1.0598514	0.36120403	0.94902885	1.0	660	tags=22%, list=11%, signal=24%	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION		35	0.36924118	1.0594503	0.35016286	0.92480993	1.0	1588	tags=49%, list=25%, signal=65%	
KEGG_INSULIN_SIGNALING_PATHWAY	KEGG_INSULIN_SIGNALING_PATHWAY		91	0.32004648	1.0534317	0.35150644	0.9221767	1.0	1227	tags=29%, list=20%, signal=35%	
KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE		110	0.30877241	1.0527385	0.370945	0.90074116	1.0	2156	tags=51%, list=35%, signal=76%	
KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_HEMATOPOIETIC_CELL_LINEAGE		63	0.3322933	1.0490482	0.36363637	0.8905219	1.0	635	tags=22%, list=10%, signal=24%	
KEGG_TRYPTOPHAN_METABOLISM	KEGG_TRYPTOPHAN_METABOLISM		25	0.3966833	1.0441662	0.39310345	0.88485706	1.0	1564	tags=48%, list=25%, signal=64%	
KEGG_BUTANOATE_METABOLISM	KEGG_BUTANOATE_METABOLISM		23	0.4090745	1.0402286	0.4189189	0.87693954	1.0	1341	tags=39%, list=21%, signal=50%	
KEGG_PYRIMIDINE_METABOLISM	KEGG_PYRIMIDINE_METABOLISM		58	0.33304253	1.035162	0.39850748	0.87284034	1.0	923	tags=26%, list=15%, signal=30%	
KEGG_PURINE_METABOLISM	KEGG_PURINE_METABOLISM		84	0.31117788	1.0168253	0.42411348	0.9143271	1.0	923	tags=24%, list=15%, signal=28%	
KEGG_COLORECTAL_CANCER	KEGG_COLORECTAL_CANCER		50	0.34046587	1.0147157	0.41798106	0.9005823	1.0	1162	tags=32%, list=19%, signal=39%	
KEGG_STARCH_AND_SUCROSE_METABOLISM	KEGG_STARCH_AND_SUCROSE_METABOLISM		18	0.40959093	1.0068946	0.46434784	0.9059283	1.0	676	tags=22%, list=11%, signal=25%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME		88	0.2948104	0.9836384	0.50461537	0.96294093	1.0	2033	tags=35%, list=33%, signal=51%	
KEGG_PROSTATE_CANCER	KEGG_PROSTATE_CANCER		65	0.3138162	0.98263925	0.49529782	0.94563717	1.0	209	tags=11%, list=3%, signal=11%	
KEGG_TYPE_II_DIABETES_MELLITUS	KEGG_TYPE_II_DIABETES_MELLITUS		23	0.38403663	0.9777856	0.49820143	0.94147754	1.0	1110	tags=43%, list=18%, signal=53%	
KEGG_WNT_SIGNALING_PATHWAY	KEGG_WNT_SIGNALING_PATHWAY		87	0.29359603	0.9727712	0.53432834	0.9376808	1.0	264	tags=8%, list=4%, signal=8%	
KEGG_PATHWAYS_IN_CANCER	KEGG_PATHWAYS_IN_CANCER		206	0.26735997	0.9670119	0.56459945	0.93650687	1.0	757	tags=16%, list=12%, signal=18%	
KEGG_TGF_BETA_SIGNALING_PATHWAY	KEGG_TGF_BETA_SIGNALING_PATHWAY		55	0.31735364	0.96324104	0.5334395	0.9301426	1.0	860	tags=18%, list=14%, signal=21%	
KEGG_BASAL_TRANSCRIPTION_FACTORS	KEGG_BASAL_TRANSCRIPTION_FACTORS		23	0.36589938	0.9552807	0.52899826	0.9359667	1.0	2050	tags=35%, list=33%, signal=52%	
KEGG_NON_SMALL_CELL_LUNG_CANCER	KEGG_NON_SMALL_CELL_LUNG_CANCER		39	0.3281712	0.9499875	0.52396166	0.9347546	1.0	1149	tags=26%, list=18%, signal=31%	
KEGG_TYROSINE_METABOLISM	KEGG_TYROSINE_METABOLISM		19	0.37151366	0.9333707	0.5582192	0.96478236	1.0	1285	tags=32%, list=21%, signal=40%	
KEGG_MELANOGENESIS	KEGG_MELANOGENESIS		55	0.30554694	0.9306689	0.577044	0.9554149	1.0	242	tags=7%, list=4%, signal=7%	
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE		100	0.27678248	0.92352927	0.5947136	0.9575713	1.0	1984	tags=46%, list=32%, signal=66%	
KEGG_THYROID_CANCER	KEGG_THYROID_CANCER		23	0.35500085	0.91108686	0.59770113	0.9764072	1.0	1065	tags=26%, list=17%, signal=31%	
KEGG_RNA_DEGRADATION	KEGG_RNA_DEGRADATION		25	0.33976573	0.9078547	0.5776294	0.9688904	1.0	1761	tags=32%, list=28%, signal=44%	
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS		86	0.27224338	0.89656943	0.68281937	0.98335725	1.0	1190	tags=24%, list=19%, signal=30%	
KEGG_TIGHT_JUNCTION	KEGG_TIGHT_JUNCTION		69	0.27963513	0.8809675	0.6831832	1.0	1.0	742	tags=17%, list=12%, signal=20%	
KEGG_PROPANOATE_METABOLISM	KEGG_PROPANOATE_METABOLISM		21	0.35116208	0.8804832	0.62522525	0.9942642	1.0	1618	tags=52%, list=26%, signal=70%	
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_GLYCOLYSIS_GLUCONEOGENESIS		38	0.30217308	0.8673972	0.66886324	1.0	1.0	622	tags=13%, list=10%, signal=15%	
KEGG_GALACTOSE_METABOLISM	KEGG_GALACTOSE_METABOLISM		18	0.35574135	0.85878116	0.65816325	1.0	1.0	784	tags=22%, list=13%, signal=25%	
KEGG_BETA_ALANINE_METABOLISM	KEGG_BETA_ALANINE_METABOLISM		16	0.3551769	0.8531937	0.6702899	1.0	1.0	652	tags=25%, list=10%, signal=28%	
KEGG_PROTEASOME	KEGG_PROTEASOME		37	0.29975367	0.8515393	0.7020281	1.0	1.0	2153	tags=46%, list=34%, signal=70%	
KEGG_SMALL_CELL_LUNG_CANCER	KEGG_SMALL_CELL_LUNG_CANCER		63	0.27131635	0.8490496	0.74553573	0.996782	1.0	698	tags=17%, list=11%, signal=19%	
KEGG_VIBRIO_CHOLERAE_INFECTION	KEGG_VIBRIO_CHOLERAE_INFECTION		38	0.30139583	0.84650147	0.7077922	0.9879406	1.0	94	tags=5%, list=2%, signal=5%	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM		26	0.31722248	0.8463554	0.6891892	0.97408915	1.0	1088	tags=27%, list=17%, signal=32%	
KEGG_LONG_TERM_POTENTIATION	KEGG_LONG_TERM_POTENTIATION		46	0.28345764	0.83829015	0.74153847	0.9781793	1.0	1626	tags=30%, list=26%, signal=41%	
KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_CITRATE_CYCLE_TCA_CYCLE		24	0.31551415	0.8268256	0.70868826	0.98942053	1.0	1723	tags=38%, list=28%, signal=52%	
KEGG_ASTHMA	KEGG_ASTHMA		18	0.33431798	0.82548916	0.7379679	0.97870034	1.0	656	tags=22%, list=10%, signal=25%	
KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM		30	0.29679805	0.82264936	0.7616	0.97119564	1.0	1748	tags=43%, list=28%, signal=60%	
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION		36	0.28772238	0.812019	0.7620529	0.9792245	1.0	2358	tags=67%, list=38%, signal=106%	
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY		39	0.27556774	0.81075495	0.7697161	0.9689918	1.0	1042	tags=31%, list=17%, signal=37%	
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT		24	0.30993885	0.8102581	0.73883164	0.9572466	1.0	1320	tags=21%, list=21%, signal=26%	
KEGG_VEGF_SIGNALING_PATHWAY	KEGG_VEGF_SIGNALING_PATHWAY		49	0.26930267	0.8073697	0.7777778	0.9506412	1.0	1400	tags=31%, list=22%, signal=39%	
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON		117	0.23341163	0.8011228	0.8730159	0.9499539	1.0	834	tags=16%, list=13%, signal=18%	
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE		61	0.25820222	0.7971884	0.8190184	0.9451501	1.0	1400	tags=31%, list=22%, signal=40%	
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_DRUG_METABOLISM_CYTOCHROME_P450		32	0.28536573	0.78531265	0.7958861	0.95429015	1.0	602	tags=19%, list=10%, signal=21%	
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY		63	0.24671885	0.77892435	0.8544601	0.95264137	1.0	1162	tags=27%, list=19%, signal=33%	
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY		125	0.22355273	0.7747973	0.91853935	0.9481593	1.0	731	tags=15%, list=12%, signal=17%	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS		33	0.2710285	0.760324	0.85391307	0.9591697	1.0	660	tags=15%, list=11%, signal=17%	
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450		26	0.28661513	0.7577515	0.814433	0.9514893	1.0	1073	tags=31%, list=17%, signal=37%	
KEGG_GNRH_SIGNALING_PATHWAY	KEGG_GNRH_SIGNALING_PATHWAY		57	0.2421775	0.74754757	0.8834356	0.9544221	1.0	1070	tags=25%, list=17%, signal=29%	
KEGG_LONG_TERM_DEPRESSION	KEGG_LONG_TERM_DEPRESSION		37	0.25479895	0.7375295	0.867031	0.9560594	1.0	1704	tags=35%, list=27%, signal=48%	
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM		19	0.29436675	0.73710084	0.83652174	0.9455877	1.0	1654	tags=47%, list=26%, signal=64%	
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION		43	0.24571753	0.7239423	0.8899676	0.9504772	1.0	825	tags=12%, list=13%, signal=13%	
KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG_PENTOSE_PHOSPHATE_PATHWAY		18	0.29024836	0.71805817	0.8584071	0.9459275	1.0	2104	tags=50%, list=34%, signal=75%	
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM		51	0.22679973	0.6914221	0.9553159	0.9605606	1.0	1070	tags=18%, list=17%, signal=21%	
KEGG_PEROXISOME	KEGG_PEROXISOME		42	0.20054893	0.58818394	0.9903537	1.0	1.0	1461	tags=24%, list=23%, signal=31%	
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM		19	0.23717555	0.5856241	0.9534483	0.99368507	1.0	547	tags=11%, list=9%, signal=12%	
KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM		36	0.20797075	0.5848399	0.987055	0.98324716	1.0	1424	tags=28%, list=23%, signal=36%	
