NAME	TITLE	SCORE	
DMC1	na	1.9242493	
MYRIP	na	1.6427238	
PIP	na	1.6365472	
TROAP	na	1.6340352	
TYROBP	na	1.5490518	
LOXL2	na	1.5418999	
CENPE	na	1.5269568	
GCAT	na	1.4990679	
EPB41L4B	na	1.4333392	
LOC81691	na	1.4193237	
FANCA	na	1.4092007	
ACTA2	na	1.3952553	
KIF22	na	1.3914189	
CDC25C	na	1.3677158	
IGLL1	na	1.3344077	
P4HA2	na	1.306755	
SH2D1A	na	1.2785746	
SLCO3A1	na	1.2750005	
HSPA2	na	1.2618053	
KANK1	na	1.2605898	
RAG1	na	1.2594032	
TNFSF8	na	1.2429895	
CDC25A	na	1.2315315	
UCHL1	na	1.2204525	
S100A9	na	1.2172586	
KIF23	na	1.1965677	
GZMK	na	1.1755202	
G0S2	na	1.17315	
NMU	na	1.1619576	
PAQR4	na	1.1483856	
CIT	na	1.1418588	
FASLG	na	1.1416955	
ABCA6	na	1.1350731	
LEF1	na	1.1127609	
APOBEC3B	na	1.1118271	
SEPT8	na	1.0910187	
CHEK1	na	1.0906215	
FBLN5	na	1.0845288	
FRY	na	1.0767645	
CHN2	na	1.0766034	
NRGN	na	1.0575958	
IL1RN	na	1.0267183	
VDR	na	1.0265915	
HIST1H2AD	na	1.0203769	
CADPS	na	1.014275	
PRKCH	na	1.0087559	
SPC25	na	0.9945512	
FEZ1	na	0.9879952	
CD27	na	0.9831362	
CAMSAP1L1	na	0.97957134	
LTBP1	na	0.97555727	
ESM1	na	0.96025914	
MYBL1	na	0.9585029	
CDC45	na	0.95797014	
BUB1	na	0.9539262	
PRKAR2B	na	0.9490653	
BMP7	na	0.94434947	
CCNB2	na	0.94404906	
TJP2	na	0.94152343	
TGM2	na	0.94136244	
CAMK1	na	0.9323343	
AKAP12	na	0.9297497	
EPS8	na	0.9238248	
TCF7	na	0.9234807	
NINL	na	0.9137196	
SMPDL3A	na	0.9088514	
KIF14	na	0.90738684	
PTTG2	na	0.89500993	
FCER1G	na	0.893619	
NCAPH	na	0.88952416	
COBL	na	0.8866389	
CADM1	na	0.88555014	
AIF1	na	0.88487303	
SMAD1	na	0.8808158	
NEK2	na	0.8806697	
FRMD4B	na	0.87904245	
S100P	na	0.87465614	
SYNE2	na	0.8678547	
RRM2	na	0.8673297	
BIRC5	na	0.8670744	
CDO1	na	0.86400485	
CD1E	na	0.8621313	
MYO6	na	0.8516117	
Gdr2	na	0.851233	
IL8	na	0.8422303	
STIL	na	0.83927613	
PLK4	na	0.83906275	
CD38	na	0.83885676	
S100A8	na	0.8370987	
GINS1	na	0.8343788	
CXCL1	na	0.8333349	
CAMK4	na	0.83269495	
CDK1	na	0.82509637	
FGFR1	na	0.8239144	
PRKCA	na	0.8208725	
RAPGEF5	na	0.81855685	
CDC6	na	0.817218	
GPSM2	na	0.81690973	
ANXA1	na	0.81208515	
KCNN3	na	0.81068134	
AQP9	na	0.8040735	
SYT11	na	0.79919857	
CDKN3	na	0.7976951	
IGFBP7	na	0.7971377	
